"site","width50","canopy50","pretree05","pretree15","pretree30","pretree45","pretree60","crown05","crown25","crown50","crown75","crown95","crownmax"
"redwoods h2",29.66,80.96,0,0,0,0.072,99.928,88.83,94.85,98.46,102.15,107.73,112.66
"redwoods humbolt",26.99,69.5,0,0.117,1.591,1.617,96.675,66.94,81.73,87.73,93.47,98.73,105.02
"rocky mt spruce ne",10.7,13.3,12.057,86.488,1.455,0,0,13.49,16.55,18.4,20.77,26.27,36.36
"rocky mt spruce sw",9.44,11.2,47.211,52.789,0,0,0,10.4,13.29,15.16,17.32,21.44,29.4
"ruderal woodlot",12.36,12.49,29.253,70.747,0,0,0,11.05,14.47,17.14,19.53,25.13,29.34
"russ beech-maple-tulip",22.96,30.26,0.471,2.88,96.648,0,0,30.8,32.94,34.16,35.49,39.22,44.89
"selva lowland",25.56,28.39,0.789,17.064,71.875,10.144,0.129,24.82,31.6,36.09,40.6,48.62,61.67
"selva upland",22.9,24.48,0.33,40.504,57.498,1.668,0,22.61,27.39,31.36,35.52,41.83,53.97
"sitka spruce rainforest",21.94,40.67,0.543,1.887,18.271,29.182,50.117,33.97,46.92,60.01,73.58,82.52,90.16
"sleepy mature",18.19,24.13,0,100,0,0,0,24.45,26.6,27.26,28.12,29.35,29.77
"sleepy young",15.18,18.75,0.047,99.953,0,0,0,20.79,21.94,22.9,24.26,25.93,27.43
"successional cove hardwoods",21.08,31.69,0.037,3.138,93.793,3.033,0,30.87,34.98,37.47,39.52,43.38,51.83
"warren beech-maple",22.9,29.19,0.024,7.59,92.386,0,0,28.88,32.02,33.53,35.29,38.08,43.13
"xeric chaparral",7.23,5.75,100,0,0,0,0,5.54,6.21,6.79,8.17,9.51,11.86
"yellow pine",11.45,9.98,75.16,24.84,0,0,0,9.19,11.71,13.37,14.98,17.38,29.39
"yunque 2015 high",11.89,8.34,85.077,14.923,0,0,0,7.09,9.11,11.2,13.56,17.7,24.92
"yunque 2015 low",20.25,20.78,0.278,85.988,13.734,0,0,19.42,22.94,25.4,28.12,32.72,42.61
"yunque 2018 high",10.22,7.37,93.383,6.617,0,0,0,6.86,8.57,10.22,12.33,15.51,23.44
"yunque 2018 low",16.2,17.18,5.867,87.308,6.825,0,0,14.56,20.24,23.24,26.08,31.08,41.28
